nama;tgl;judul;image;link
kompas.com;2022-09-27 20:26:00;7 Tantangan Pendidikan Indonesia, dari Stunting sampai Pengangguran;https://asset.kompas.com/crops/DXROhsc_ndXkFOO3SipnOj-mFcg=/0x0:833x555/230x153/data/photo/2019/03/18/3461540443.jpg;http://edukasi.kompas.com/read/2019/03/20/20261901/7-tantangan-pendidikan-indonesia-dari-stunting-sampai-pengangguran
kompas.com;2022-09-27 20:26:00;Aceh Deklarasi Lawan Stunting ;https://asset.kompas.com/crops/-CVL4jiKqxx5N_bCX8n_I--bFP0=/0x0:1000x667/230x153/data/photo/2019/03/03/2093253516.jpg;http://regional.kompas.com/read/2019/03/03/20260691/aceh-deklarasi-lawan-stunting
kompas.com;2022-09-27 20:25:00;Perlunya Intervensi kepada Ibu untuk Mencegah Stunting pada Anak;https://asset.kompas.com/crops/zV46Ie5fKWTRgySpxWs4qZb_wBM=/0x0:5069x3379/230x153/data/photo/2022/04/05/624c3b092ed54.jpg;http://lifestyle.kompas.com/read/2022/04/05/202536720/perlunya-intervensi-kepada-ibu-untuk-mencegah-stunting-pada-anak
kompas.com;2022-09-27 20:22:00;"Wapres Minta Kades yang Berhasil Cegah ""Stunting"" Diberi Penghargaan";https://asset.kompas.com/crops/aD0II7zytCdvoVJdrLIq9mI8gkM=/0x0:1000x667/230x153/data/photo/2018/03/22/3891631245.jpg;http://nasional.kompas.com/read/2018/03/28/20223101/wapres-minta-kades-yang-berhasil-cegah-stunting-diberi-penghargaan
kompas.com;2022-09-27 20:19:00;Tiga Prestasi Ganjar di Bidang Kesehatan yang Paling Mentereng;https://asset.kompas.com/crops/VB9X8pTEJLFXEBIjylj_GccN7eI=/0x0:1280x853/230x153/data/photo/2022/06/22/62b312fcb19d3.jpg;http://regional.kompas.com/read/2022/06/22/201902278/tiga-prestasi-ganjar-di-bidang-kesehatan-yang-paling-mentereng
kompas.com;2022-09-27 20:18:00;Akademisi Unair: Ini Dampak Stunting bagi Perkembangan Anak;https://asset.kompas.com/crops/Qc16Gx4ip96rrIyVZYsvp8Z04_c=/214x111:880x555/230x153/data/photo/2019/03/18/3461540443.jpg;http://edukasi.kompas.com/read/2020/09/26/201834971/akademisi-unair-ini-dampak-stunting-bagi-perkembangan-anak
kompas.com;2022-09-27 20:17:00;Angka Stunting di Kota Malang 9,9 persen, Wali Kota Tekankan Komitmen dari Seluruh Pihak;https://asset.kompas.com/crops/632zUB3wH7exwQydeygtC6Tttks=/0x0:0x0/230x153/data/photo/2022/05/21/6288b07911cb5.jpg;http://surabaya.kompas.com/read/2022/05/21/201750078/angka-stunting-di-kota-malang-99-persen-wali-kota-tekankan-komitmen-dari
kompas.com;2022-09-27 20:11:00;Bulog Banyumas Produksi Beras Bervitamin Diklaim Dapat Cegah Stunting;https://asset.kompas.com/crops/1-BgfHXH9B5nOj4tvOw5OQ6JYZo=/0x0:1000x667/230x153/data/photo/2017/07/26/154557720170726-033930-7354-pasar.induk-.beras-.cipinang-.perdagangan-.beras-.pemerintah-.JPG;http://regional.kompas.com/read/2020/03/10/20114561/bulog-banyumas-produksi-beras-bervitamin-diklaim-dapat-cegah-stunting
kompas.com;2022-09-27 20:10:00;Cegah Stunting, Jaga Sanitasi dan Nutrisi Anak di 1.000 Hari Pertama Kehidupan;https://asset.kompas.com/crops/OQszvEJb-PL_685nl6GQtyu9Fu8=/0x0:780x520/230x153/data/photo/2022/06/16/62ab2ba45639a.jpg;http://biz.kompas.com/read/2022/06/16/201053328/cegah-stunting-jaga-sanitasi-dan-nutrisi-anak-di-1000-hari-pertama-kehidupan
kompas.com;2022-09-27 20:10:00;Kisah Iptu Jeane, Kapolsek Wanita Pertama di Alor, Dedikasikan Diri Jadi Orangtua Asuh Anak Stunting;https://asset.kompas.com/crops/e686c103x0j2AqYf1UFYDJxRj2g=/0x0:0x0/230x153/data/photo/2022/09/01/63108e4f34724.jpg;http://regional.kompas.com/read/2022/09/01/201008178/kisah-iptu-jeane-kapolsek-wanita-pertama-di-alor-dedikasikan-diri-jadi
kompas.com;2022-09-27 20:08:00;Tanoto Foundation Libatkan Masyarakat untuk Cari Solusi Masalah Stunting di Indonesia;https://asset.kompas.com/crops/lgxDlrvrgGw3a6Wn0kvnHL6HeC8=/0x0:1296x864/230x153/data/photo/2022/02/04/61fd0a5445039.jpg;http://www.kompas.com/edu/read/2022/02/04/200800871/tanoto-foundation-libatkan-masyarakat-untuk-cari-solusi-masalah-stunting-di
kompas.com;2022-09-27 20:07:00;"Waspadai Garam Bodong yang Bisa Mengakibatkan ""Stunting""";https://asset.kompas.com/crops/tR-qw4F9xGkIXWlIRUVB62xD1wc=/0x23:966x667/230x153/data/photo/2018/02/26/2711254483.jpg;http://sains.kompas.com/read/2018/09/18/200700323/waspadai-garam-bodong-yang-bisa-mengakibatkan-stunting-
kompas.com;2022-09-27 20:06:00;Kalau Bukan Tubuhnya Kerdil, Umurnya yang Kerdil;https://asset.kompas.com/crops/A4lTg0uqTNyIDasrqp8W6vZDfWQ=/0x0:1000x667/230x153/data/photo/2017/10/25/3051357466.jpg;http://lifestyle.kompas.com/read/2018/04/05/200619320/kalau-bukan-tubuhnya-kerdil-umurnya-yang-kerdil
kompas.com;2022-09-27 20:05:00;LIPI Kembangkan Produk Pangan Fungsional, Cegah Stunting dan Obesitas;https://asset.kompas.com/crops/PuQ6tuB5dvZsZy-krBhIKWuCa2A=/111x0:1188x718/230x153/data/photo/2019/10/11/5da03bdf07acb.jpg;http://sains.kompas.com/read/2019/10/11/200500323/lipi-kembangkan-produk-pangan-fungsional-cegah-stunting-dan-obesitas
kompas.com;2022-09-27 20:05:00;IDAI Imbau Orangtua Gunakan Pencatatan Digital Tumbuh Kembang Anak Lewat Aplikasi;https://asset.kompas.com/crops/uTse5L1Yg14i8oCU1L4rzm-c3II=/0x0:1000x667/230x153/data/photo/2021/12/11/61b424c96f58e.jpg;http://www.kompas.com/sains/read/2022/04/20/200500023/idai-imbau-orangtua-gunakan-pencatatan-digital-tumbuh-kembang-anak-lewat
kompas.com;2022-09-27 20:05:00;Kemenag, BKKBN, dan BRIN Perkuat Kerja Sama Cegah Stunting;https://asset.kompas.com/crops/6EIG1T8TnbX-CeeG4BfWXxlh1yw=/177x60:902x544/230x153/data/photo/2021/12/22/61c23c4672289.jpg;http://money.kompas.com/read/2021/12/20/200513226/kemenag-bkkbn-dan-brin-perkuat-kerja-sama-cegah-stunting
